 title_subjectivity, title_sentiment_polarity, abs_title_subjectivity, abs_title_sentiment_polarity
0.5,-0.1875,0.0,0.1875
0.0,0.0,0.5,0.0
0.0,0.0,0.5,0.0
0.0,0.0,0.5,0.0
0.454545454545,0.136363636364,0.0454545454545,0.136363636364
0.642857142857,0.214285714286,0.142857142857,0.214285714286
0.0,0.0,0.5,0.0
1.0,0.5,0.5,0.5
0.125,0.0,0.375,0.0
0.0,0.0,0.5,0.0
0.0,0.0,0.5,0.0
0.0,0.0,0.5,0.0
1.0,-1.0,0.5,1.0
1.0,-1.0,0.5,1.0
0.75,0.55,0.25,0.55
0.75,-0.25,0.25,0.25
0.566666666667,-0.1,0.0666666666667,0.1
0.0,0.0,0.5,0.0
0.857142857143,-0.714285714286,0.357142857143,0.714285714286
0.5,0.0,0.0,0.0
0.0,0.0,0.5,0.0
0.0,0.0,0.5,0.0
0.0,0.0,0.5,0.0
0.45,0.4,0.05,0.4
0.7,-0.4,0.2,0.4
0.9,0.4,0.4,0.4
0.0,0.0,0.5,0.0
0.5,0.5,0.0,0.5
0.0,0.0,0.5,0.0
0.5,0.5,0.0,0.5
0.0,0.0,0.5,0.0
0.0,0.0,0.5,0.0
0.0,0.0,0.5,0.0
1.0,1.0,0.5,1.0
0.0,0.0,0.5,0.0
0.55,0.35,0.05,0.35
1.0,-0.6,0.5,0.6
0.666666666667,-0.5,0.166666666667,0.5
0.0,0.0,0.5,0.0
0.4,0.1,0.1,0.1
0.0,0.0,0.5,0.0
0.0,0.0,0.5,0.0
0.0,0.0,0.5,0.0
0.7,-0.05,0.2,0.05
0.0,0.0,0.5,0.0
0.0,0.0,0.5,0.0
0.0,0.0,0.5,0.0
0.583333333333,0.25,0.0833333333333,0.25
0.0,0.0,0.5,0.0
0.0,0.0,0.5,0.0
0.85,-0.4,0.35,0.4
0.642857142857,0.214285714286,0.142857142857,0.214285714286
0.0,0.0,0.5,0.0
0.427272727273,0.168181818182,0.0727272727273,0.168181818182
0.333333333333,0.25,0.166666666667,0.25
0.5,-0.1,0.0,0.1
0.65,-0.5,0.15,0.5
